"","Date","HomeTeam","AwayTeam","FTHG","FTAG","Resultado"
"1",2018-08-17,"Betis","Levante",0,3,"Victoria Visitante"
"2",2018-08-17,"Girona","Valladolid",0,0,"Empate"
"3",2018-08-18,"Barcelona","Alaves",3,0,"Victoria Local"
"4",2018-08-18,"Celta","Espanol",1,1,"Empate"
"5",2018-08-18,"Villarreal","Sociedad",1,2,"Victoria Visitante"
"6",2018-08-19,"Eibar","Huesca",1,2,"Victoria Visitante"
"7",2018-08-19,"Real Madrid","Getafe",2,0,"Victoria Local"
"8",2018-08-19,"Vallecano","Sevilla",1,4,"Victoria Visitante"
"9",2018-08-20,"Ath Bilbao","Leganes",2,1,"Victoria Local"
"10",2018-08-20,"Valencia","Ath Madrid",1,1,"Empate"
"11",2018-08-24,"Getafe","Eibar",2,0,"Victoria Local"
"12",2018-08-24,"Leganes","Sociedad",2,2,"Empate"
"13",2018-08-25,"Alaves","Betis",0,0,"Empate"
"14",2018-08-25,"Ath Madrid","Vallecano",1,0,"Victoria Local"
"15",2018-08-25,"Valladolid","Barcelona",0,1,"Victoria Visitante"
"16",2018-08-26,"Espanol","Valencia",2,0,"Victoria Local"
"17",2018-08-26,"Girona","Real Madrid",1,4,"Victoria Visitante"
"18",2018-08-26,"Sevilla","Villarreal",0,0,"Empate"
"19",2018-08-27,"Ath Bilbao","Huesca",2,2,"Empate"
"20",2018-08-27,"Levante","Celta",1,2,"Victoria Visitante"
"21",2018-08-31,"Eibar","Sociedad",2,1,"Victoria Local"
"22",2018-08-31,"Getafe","Valladolid",0,0,"Empate"
"23",2018-08-31,"Villarreal","Girona",0,1,"Victoria Visitante"
"24",2018-09-01,"Celta","Ath Madrid",2,0,"Victoria Local"
"25",2018-09-01,"Real Madrid","Leganes",4,1,"Victoria Local"
"26",2018-09-02,"Alaves","Espanol",2,1,"Victoria Local"
"27",2018-09-02,"Barcelona","Huesca",8,2,"Victoria Local"
"28",2018-09-02,"Betis","Sevilla",1,0,"Victoria Local"
"29",2018-09-02,"Levante","Valencia",2,2,"Empate"
"30",2018-09-14,"Huesca","Vallecano",0,1,"Victoria Visitante"
"31",2018-09-15,"Ath Bilbao","Real Madrid",1,1,"Empate"
"32",2018-09-15,"Ath Madrid","Eibar",1,1,"Empate"
"33",2018-09-15,"Sociedad","Barcelona",1,2,"Victoria Visitante"
"34",2018-09-15,"Valencia","Betis",0,0,"Empate"
"35",2018-09-16,"Espanol","Levante",1,0,"Victoria Local"
"36",2018-09-16,"Leganes","Villarreal",0,1,"Victoria Visitante"
"37",2018-09-16,"Sevilla","Getafe",0,2,"Victoria Visitante"
"38",2018-09-16,"Valladolid","Alaves",0,1,"Victoria Visitante"
"39",2018-09-17,"Girona","Celta",3,2,"Victoria Local"
"40",2018-09-21,"Huesca","Sociedad",0,1,"Victoria Visitante"
"41",2018-09-22,"Celta","Valladolid",3,3,"Empate"
"42",2018-09-22,"Eibar","Leganes",1,0,"Victoria Local"
"43",2018-09-22,"Getafe","Ath Madrid",0,2,"Victoria Visitante"
"44",2018-09-22,"Real Madrid","Espanol",1,0,"Victoria Local"
"45",2018-09-22,"Vallecano","Alaves",1,5,"Victoria Visitante"
"46",2018-09-23,"Barcelona","Girona",2,2,"Empate"
"47",2018-09-23,"Betis","Ath Bilbao",2,2,"Empate"
"48",2018-09-23,"Levante","Sevilla",2,6,"Victoria Visitante"
"49",2018-09-23,"Villarreal","Valencia",0,0,"Empate"
"50",2018-09-25,"Ath Madrid","Huesca",3,0,"Victoria Local"
"51",2018-09-25,"Espanol","Eibar",1,0,"Victoria Local"
"52",2018-09-25,"Sociedad","Vallecano",2,2,"Empate"
"53",2018-09-26,"Ath Bilbao","Villarreal",0,3,"Victoria Visitante"
"54",2018-09-26,"Leganes","Barcelona",2,1,"Victoria Local"
"55",2018-09-26,"Sevilla","Real Madrid",3,0,"Victoria Local"
"56",2018-09-26,"Valencia","Celta",1,1,"Empate"
"57",2018-09-27,"Alaves","Getafe",1,1,"Empate"
"58",2018-09-27,"Girona","Betis",0,1,"Victoria Visitante"
"59",2018-09-27,"Valladolid","Levante",2,1,"Victoria Local"
"60",2018-09-28,"Vallecano","Espanol",2,2,"Empate"
"61",2018-09-29,"Barcelona","Ath Bilbao",1,1,"Empate"
"62",2018-09-29,"Eibar","Sevilla",1,3,"Victoria Visitante"
"63",2018-09-29,"Real Madrid","Ath Madrid",0,0,"Empate"
"64",2018-09-29,"Sociedad","Valencia",0,1,"Victoria Visitante"
"65",2018-09-30,"Betis","Leganes",1,0,"Victoria Local"
"66",2018-09-30,"Huesca","Girona",1,1,"Empate"
"67",2018-09-30,"Levante","Alaves",2,1,"Victoria Local"
"68",2018-09-30,"Villarreal","Valladolid",0,1,"Victoria Visitante"
"69",2018-10-01,"Celta","Getafe",1,1,"Empate"
"70",2018-10-05,"Ath Bilbao","Sociedad",1,3,"Victoria Visitante"
"71",2018-10-06,"Alaves","Real Madrid",1,0,"Victoria Local"
"72",2018-10-06,"Getafe","Levante",0,1,"Victoria Visitante"
"73",2018-10-06,"Girona","Eibar",2,3,"Victoria Visitante"
"74",2018-10-06,"Leganes","Vallecano",1,0,"Victoria Local"
"75",2018-10-07,"Ath Madrid","Betis",1,0,"Victoria Local"
"76",2018-10-07,"Espanol","Villarreal",3,1,"Victoria Local"
"77",2018-10-07,"Sevilla","Celta",2,1,"Victoria Local"
"78",2018-10-07,"Valencia","Barcelona",1,1,"Empate"
"79",2018-10-07,"Valladolid","Huesca",1,0,"Victoria Local"
"80",2018-10-19,"Celta","Alaves",0,1,"Victoria Visitante"
"81",2018-10-20,"Barcelona","Sevilla",4,2,"Victoria Local"
"82",2018-10-20,"Real Madrid","Levante",1,2,"Victoria Visitante"
"83",2018-10-20,"Valencia","Leganes",1,1,"Empate"
"84",2018-10-20,"Villarreal","Ath Madrid",1,1,"Empate"
"85",2018-10-21,"Betis","Valladolid",0,1,"Victoria Visitante"
"86",2018-10-21,"Eibar","Ath Bilbao",1,1,"Empate"
"87",2018-10-21,"Huesca","Espanol",0,2,"Victoria Visitante"
"88",2018-10-21,"Vallecano","Getafe",1,2,"Victoria Visitante"
"89",2018-10-22,"Sociedad","Girona",0,0,"Empate"
"90",2018-10-24,"Vallecano","Ath Bilbao",1,1,"Empate"
"91",2018-10-26,"Valladolid","Espanol",1,1,"Empate"
"92",2018-10-27,"Ath Bilbao","Valencia",0,0,"Empate"
"93",2018-10-27,"Ath Madrid","Sociedad",2,0,"Victoria Local"
"94",2018-10-27,"Celta","Eibar",4,0,"Victoria Local"
"95",2018-10-27,"Girona","Vallecano",2,1,"Victoria Local"
"96",2018-10-27,"Levante","Leganes",2,0,"Victoria Local"
"97",2018-10-28,"Alaves","Villarreal",2,1,"Victoria Local"
"98",2018-10-28,"Barcelona","Real Madrid",5,1,"Victoria Local"
"99",2018-10-28,"Getafe","Betis",2,0,"Victoria Local"
"100",2018-10-28,"Sevilla","Huesca",2,1,"Victoria Local"
"101",2018-11-03,"Leganes","Ath Madrid",1,1,"Empate"
"102",2018-11-03,"Real Madrid","Valladolid",2,0,"Victoria Local"
"103",2018-11-03,"Valencia","Girona",0,1,"Victoria Visitante"
"104",2018-11-03,"Vallecano","Barcelona",2,3,"Victoria Visitante"
"105",2018-11-04,"Betis","Celta",3,3,"Empate"
"106",2018-11-04,"Eibar","Alaves",2,1,"Victoria Local"
"107",2018-11-04,"Huesca","Getafe",1,1,"Empate"
"108",2018-11-04,"Sociedad","Sevilla",0,0,"Empate"
"109",2018-11-04,"Villarreal","Levante",1,1,"Empate"
"110",2018-11-05,"Espanol","Ath Bilbao",1,0,"Victoria Local"
"111",2018-11-09,"Levante","Sociedad",1,3,"Victoria Visitante"
"112",2018-11-10,"Ath Madrid","Ath Bilbao",3,2,"Victoria Local"
"113",2018-11-10,"Getafe","Valencia",0,1,"Victoria Visitante"
"114",2018-11-10,"Girona","Leganes",0,0,"Empate"
"115",2018-11-10,"Valladolid","Eibar",0,0,"Empate"
"116",2018-11-11,"Alaves","Huesca",2,1,"Victoria Local"
